hex_id,pred_peak_month,pred_peak_share,area_weight_km2,wind_peak_month,wind_peak_share,wind_profile_metric,circular_peak_month_difference,signed_peak_month_shift,peak_month_share_difference,abs_peak_month_share_difference
1852,12,0.4113473076676319,2165.0000000225523,1,0.2922187705116692,frequency,1,-1,0.11912853715596267,0.11912853715596267
1853,1,0.3845071440156947,2164.9999999792612,1,0.37245254850779547,frequency,0,0,0.012054595507899224,0.012054595507899224
1854,2,0.3824862387348665,2165.0000000225523,1,0.28267600665581116,frequency,1,1,0.09981023207905532,0.09981023207905532
1855,5,0.2336187240495187,2164.9999999792612,11,0.2697440123341928,frequency,6,-6,-0.03612528828467412,0.03612528828467412
1876,2,0.4735310228003372,2164.9999999792412,12,0.4028082127761219,frequency,2,2,0.07072281002421532,0.07072281002421532
1877,12,0.4192699416343484,2165.0000000225723,12,0.2957679888796413,frequency,0,0,0.1235019527547071,0.1235019527547071
1878,1,0.3267585905994348,2164.9999999792412,1,0.22611608746062528,frequency,0,0,0.10064250313880951,0.10064250313880951
1880,1,0.4629782566035839,2165.0000000225523,1,0.3035350523696279,frequency,0,0,0.15944320423395597,0.15944320423395597
1881,1,0.5383655616356854,2164.9999999792612,1,0.3142593603843466,frequency,0,0,0.2241062012513388,0.2241062012513388
1930,1,0.5763251289737085,2165.0000000225523,2,0.3398452374964973,frequency,1,-1,0.23647989147721116,0.23647989147721116
1931,2,0.3090332384405448,2164.9999999792517,1,0.3535919782857488,frequency,1,1,-0.044558739845203976,0.044558739845203976
1932,3,0.2753734983235253,2165.000000022563,1,0.2805673943751629,frequency,2,2,-0.005193896051637614,0.005193896051637614
1936,12,0.3647381899145924,2165.000000022563,2,0.38760758747803375,frequency,2,-2,-0.022869397563441363,0.022869397563441363
1937,2,0.2337619655631026,2164.9999999792517,2,0.36981787719896997,frequency,0,0,-0.13605591163586736,0.13605591163586736
1938,2,0.380793302364988,2165.0000000225523,2,0.3117628405351746,frequency,0,0,0.06903046182981337,0.06903046182981337
1939,9,0.2194324608050894,2164.9999999792612,1,0.24976466995551552,frequency,4,-4,-0.030332209150426115,0.030332209150426115
1940,12,0.4153995027371413,2165.0000000225523,10,0.25610651537721996,frequency,2,2,0.15929298735992137,0.15929298735992137
1941,11,0.3227219243914818,2164.9999999792612,2,0.31601862557508975,frequency,3,-3,0.006703298816392034,0.006703298816392034
1942,1,0.2300924958560779,2165.0000000225523,2,0.329168148709463,frequency,1,-1,-0.09907565285338507,0.09907565285338507
1943,1,0.3294867564361716,2164.9999999792612,1,0.4031443469227013,frequency,0,0,-0.0736575904865297,0.0736575904865297
1953,10,0.7756763127708548,2165.0000000225523,12,0.28097703741132535,frequency,2,-2,0.49469927535952946,0.49469927535952946
1954,1,0.5503153618846386,2164.9999999792612,12,0.2940767263814938,frequency,1,1,0.2562386355031448,0.2562386355031448
1964,3,0.1874268379915332,2165.0000000225523,12,0.32451988443591384,frequency,3,3,-0.13709304644438064,0.13709304644438064
1965,2,0.3870216711688381,2164.9999999792612,12,0.3264585817493161,frequency,2,2,0.06056308941952204,0.06056308941952204
1969,11,0.3069004561888332,2164.9999999792612,1,0.2832967911956064,frequency,2,-2,0.023603664993226803,0.023603664993226803
2017,1,0.3948658776199873,2164.9999999792517,11,0.3068498811860729,frequency,2,2,0.08801599643391439,0.08801599643391439
2018,11,0.386889666060234,2165.000000022563,1,0.34084830778814856,frequency,2,-2,0.04604135827208544,0.04604135827208544
2019,12,0.5547132543166525,2164.9999999792512,1,0.4269063749414809,frequency,1,-1,0.1278068793751716,0.1278068793751716
2022,12,0.2658762445851086,2165.000000022563,1,0.288831054545795,frequency,1,-1,-0.022954809960686384,0.022954809960686384
2023,10,0.2783727473279648,2164.9999999792512,2,0.3338963198460589,frequency,4,-4,-0.05552357251809409,0.05552357251809409
2024,2,0.4559266989537888,2165.000000022563,2,0.3876282598289175,frequency,0,0,0.06829843912487127,0.06829843912487127
2025,3,0.2818833203710332,2165.0000000225523,2,0.31778379952074887,frequency,1,1,-0.03590047914971567,0.03590047914971567
2026,12,0.3616948286389721,2164.9999999792612,2,0.25295876183905835,frequency,2,-2,0.10873606679991377,0.10873606679991377
2027,12,0.2716219369847236,2165.0000000225523,2,0.28835781567430535,frequency,2,-2,-0.016735878689581762,0.016735878689581762
2028,11,0.2601632645303903,2164.9999999792612,1,0.4652196944079031,frequency,2,-2,-0.20505642987751282,0.20505642987751282
2029,1,0.3367695438273717,2165.0000000225523,1,0.39286227165360177,frequency,0,0,-0.05609272782623009,0.05609272782623009
2030,1,0.6036098772242902,2164.9999999792612,1,0.25771979083987817,frequency,0,0,0.345890086384412,0.345890086384412
2040,3,0.4251621143411336,2165.0000000225523,12,0.24334557820141606,frequency,3,3,0.18181653613971754,0.18181653613971754
2041,12,0.6072470851850129,2164.9999999792612,12,0.32643980636591013,frequency,0,0,0.2808072788191028,0.2808072788191028
2042,3,0.2851907675266244,2165.0000000225523,12,0.32608129080640086,frequency,3,3,-0.040890523279776436,0.040890523279776436
2046,12,0.3923969820560858,2165.0000000225523,12,0.29427235328897067,frequency,0,0,0.09812462876711514,0.09812462876711514
2056,2,0.4321569810743974,2164.9999999792612,1,0.3317165973282043,frequency,1,1,0.10044038374619307,0.10044038374619307
2057,12,0.7085755862648315,2165.0000000225523,12,0.49138732415555875,frequency,0,0,0.21718826210927278,0.21718826210927278
2108,2,0.284901633936127,2164.9999999792517,1,0.41148389385598294,frequency,1,1,-0.12658225991985594,0.12658225991985594
2109,4,0.1734007769420293,2165.000000022563,1,0.3714380541216533,frequency,3,3,-0.19803727717962402,0.19803727717962402
2110,12,0.4402076815314554,2164.9999999792517,2,0.33272824262509065,frequency,2,-2,0.10747943890636474,0.10747943890636474
2111,2,0.330384885839185,2165.000000022563,2,0.3129704067622781,frequency,0,0,0.017414479076906908,0.017414479076906908
2112,2,0.2207544917055046,2164.9999999792517,2,0.33789183710827453,frequency,0,0,-0.11713734540276993,0.11713734540276993
2113,2,0.4001444241877099,2165.0000000225523,1,0.2825578786285071,frequency,1,1,0.11758654555920278,0.11758654555920278
2114,2,0.4120951059820714,2164.9999999792612,2,0.30697247507954,frequency,0,0,0.10512263090253138,0.10512263090253138
2115,1,0.4982627775927457,2165.0000000225523,2,0.3327282426250906,frequency,1,-1,0.16553453496765508,0.16553453496765508
2116,2,0.3127364798982993,2164.9999999792612,2,0.4362771020624009,frequency,0,0,-0.12354062216410161,0.12354062216410161
2117,1,0.3203984568393191,2165.0000000225523,2,0.4362771020624009,frequency,1,-1,-0.11587864522308178,0.11587864522308178
2127,10,0.3728485414269327,2164.9999999792612,12,0.26046102460918846,frequency,2,-2,0.11238751681774423,0.11238751681774423
2128,10,0.2915267464475521,2165.0000000225523,12,0.24386022959743037,frequency,2,-2,0.04766651685012174,0.04766651685012174
2129,10,0.2379782346430765,2164.9999999792612,12,0.3505239422872713,frequency,2,-2,-0.1125457076441948,0.1125457076441948
2133,12,0.327979516061364,2164.9999999792612,12,0.32342400455530124,frequency,0,0,0.004555511506062759,0.004555511506062759
2134,12,0.4837639608577843,2165.0000000225523,12,0.2899961930491683,frequency,0,0,0.193767767808616,0.193767767808616
2136,12,0.4261488595046931,2164.9999999792612,12,0.3377924091202035,frequency,0,0,0.08835645038448964,0.08835645038448964
2137,12,0.6473388747777331,2165.0000000225523,12,0.3220801598526035,frequency,0,0,0.3252587149251296,0.3252587149251296
2143,12,0.607601163239121,2165.0000000225523,1,0.303556123542196,frequency,1,-1,0.3040450396969249,0.3040450396969249
2144,2,0.4663488652021058,2164.9999999792612,12,0.37792752475302654,frequency,2,2,0.08842134044907923,0.08842134044907923
2145,12,0.588410736738634,2165.0000000225523,12,0.40104018570313354,frequency,0,0,0.18737055103550043,0.18737055103550043
2147,1,0.6113164882510181,2165.0000000225523,12,0.42350834431815354,frequency,1,1,0.1878081439328646,0.1878081439328646
2194,1,0.57098593880128,2164.9999999792512,1,0.47333439842384284,frequency,0,0,0.09765154037743717,0.09765154037743717
2195,2,0.4108918218652179,2165.000000022563,1,0.4503315543718517,frequency,1,1,-0.039439732506633796,0.039439732506633796
2196,1,0.2792138388778338,2164.9999999792512,1,0.3167332973688899,frequency,0,0,-0.03751945849105609,0.03751945849105609
2197,12,0.2860704684905857,2165.000000022563,1,0.32985057251432326,frequency,1,-1,-0.043780104023737554,0.043780104023737554
2198,2,0.3390580282304415,2164.9999999792512,2,0.36641300219593886,frequency,0,0,-0.027354973965497353,0.027354973965497353
2199,8,0.2013943483656743,2165.000000022563,2,0.29596588928319223,frequency,6,6,-0.09457154091751793,0.09457154091751793
2200,2,0.4129196089740958,2165.0000000225523,2,0.40209729110918213,frequency,0,0,0.010822317864913666,0.010822317864913666
2203,3,0.2424176348651762,2164.9999999792612,2,0.26563002112186096,frequency,1,1,-0.02321238625668476,0.02321238625668476
2204,2,0.3117761184791405,2165.0000000225523,1,0.49713407925750136,frequency,1,1,-0.18535796077836086,0.18535796077836086
2205,1,0.4151848976342669,2164.9999999792612,1,0.29416508618052584,frequency,0,0,0.12101981145374108,0.12101981145374108
2214,12,0.3568669533839184,2165.0000000225723,12,0.2430642159289595,frequency,0,0,0.11380273745495889,0.11380273745495889
2215,11,0.3032593087209693,2165.0000000225523,12,0.23105430365894558,frequency,1,-1,0.07220500506202371,0.07220500506202371
2216,11,0.2732257009661583,2164.9999999792612,10,0.2096973159327465,frequency,1,1,0.0635283850334118,0.0635283850334118
2217,10,0.2793628041680665,2165.0000000225523,11,0.2560832117970303,frequency,1,-1,0.023279592371036217,0.023279592371036217
2221,2,0.3790833938197178,2165.0000000225523,1,0.24776717536987844,frequency,1,1,0.13131621844983934,0.13131621844983934
2222,12,0.258575555546532,2164.9999999792612,12,0.40108106431209933,frequency,0,0,-0.14250550876556733,0.14250550876556733
2224,12,0.2567317457250281,2164.9999999792612,2,0.301219880370587,frequency,2,-2,-0.0444881346455589,0.0444881346455589
2225,1,0.3605701947488343,2165.0000000225527,2,0.3356516224738693,frequency,1,-1,0.024918572274964967,0.024918572274964967
2226,2,0.3909633358163074,2164.9999999792412,12,0.23026925104608473,frequency,2,2,0.16069408477022265,0.16069408477022265
2229,12,0.7617655822464869,2165.0000000225723,1,0.22030095440143727,frequency,1,-1,0.5414646278450497,0.5414646278450497
2231,3,0.5577267839457435,2164.9999999792612,12,0.3510583573650058,frequency,3,3,0.2066684265807377,0.2066684265807377
2232,2,0.3872180127162069,2165.0000000225523,1,0.3446620500299763,frequency,1,1,0.04255596268623063,0.04255596268623063
2233,12,0.2700919293513513,2164.9999999792612,1,0.39142597763984965,frequency,1,-1,-0.12133404828849836,0.12133404828849836
2234,11,0.2927503289667438,2165.0000000225523,1,0.38396852169578227,frequency,2,-2,-0.09121819272903847,0.09121819272903847
2235,2,0.3641733374258746,2164.9999999792612,1,0.4067475483798799,frequency,1,1,-0.04257421095400532,0.04257421095400532
2236,1,0.6474734886211166,2165.0000000225523,1,0.5019797281676259,frequency,0,0,0.14549376045349072,0.14549376045349072
2282,1,0.3838058614329977,2165.000000022563,1,0.26008235039568844,frequency,0,0,0.12372351103730928,0.12372351103730928
2283,12,0.2955329754599482,2164.9999999792517,1,0.24810764559964274,frequency,1,-1,0.04742532986030548,0.04742532986030548
2284,2,0.2476020987074707,2165.000000022563,1,0.19043648084617312,frequency,1,1,0.05716561786129759,0.05716561786129759
2285,7,0.2473401029089754,2164.9999999792517,1,0.34919035022469486,frequency,6,6,-0.10185024731571946,0.10185024731571946
2286,2,0.3794351042437968,2165.000000022563,2,0.35043406380446385,frequency,0,0,0.029001040439332937,0.029001040439332937
2287,2,0.2918847361094727,2164.9999999792517,2,0.43463345605577036,frequency,0,0,-0.14274871994629768,0.14274871994629768
2289,1,0.2313228004345928,2164.9999999792612,2,0.39270372408957993,frequency,1,-1,-0.16138092365498713,0.16138092365498713
2290,1,0.3129334653769123,2165.0000000225523,1,0.36912304101367127,frequency,0,0,-0.05618957563675897,0.05618957563675897
2291,12,0.2546688156025231,2164.9999999792612,2,0.22634928258921883,frequency,2,-2,0.028319533013304254,0.028319533013304254
2292,1,0.3653303483779965,2165.0000000225523,1,0.47097154639664873,frequency,0,0,-0.10564119801865224,0.10564119801865224
2293,1,0.6399809915063679,2164.9999999792612,1,0.405704402254851,frequency,0,0,0.2342765892515169,0.2342765892515169
2294,1,0.5976133641544972,2165.0000000225523,1,0.26325691964019066,frequency,0,0,0.3343564445143065,0.3343564445143065
2295,1,0.5725369168821376,2165.0000000225523,1,0.2918397436180403,frequency,0,0,0.28069717326409727,0.28069717326409727
2299,1,0.3284807497448306,2165.0000000225523,12,0.265256318924002,frequency,1,1,0.06322443082082863,0.06322443082082863
2300,3,0.4867548686294419,2164.9999999792612,1,0.21585699321153085,frequency,2,2,0.27089787541791105,0.27089787541791105
2301,3,0.3162548250238313,2165.0000000225523,2,0.25322404111544683,frequency,1,1,0.06303078390838446,0.06303078390838446
2302,12,0.2457993933849624,2164.9999999792612,12,0.24274247805610752,frequency,0,0,0.003056915328854881,0.003056915328854881
2303,12,0.5389203953706129,2165.0000000225523,12,0.21626459040913434,frequency,0,0,0.3226558049614785,0.3226558049614785
2304,11,0.3121051458701536,2164.9999999792612,12,0.3248041469348105,frequency,1,-1,-0.012699001064656934,0.012699001064656934
2309,11,0.6511100002840621,2165.0000000225523,12,0.28958498990193116,frequency,1,-1,0.3615250103821309,0.3615250103821309
2310,2,0.3100869167156153,2165.0000000225523,12,0.3700340711642512,frequency,2,2,-0.05994715444863591,0.05994715444863591
2311,2,0.4069961878256966,2164.9999999792612,12,0.35633433758065863,frequency,2,2,0.05066185024503794,0.05066185024503794
2312,2,0.3067922334000948,2165.0000000225523,2,0.2300215702632956,frequency,0,0,0.07677066313679923,0.07677066313679923
2313,2,0.5237891084405804,2164.9999999792612,2,0.31741948472460674,frequency,0,0,0.20636962371597362,0.20636962371597362
2314,1,0.3307036307814307,2165.0000000225523,2,0.31094123086564673,frequency,1,-1,0.01976239991578399,0.01976239991578399
2318,1,0.4110927207233968,2165.0000000225523,1,0.2696216426863267,frequency,0,0,0.1414710780370701,0.1414710780370701
2319,12,0.6530813503213083,2164.9999999792612,12,0.3896183476027312,frequency,0,0,0.26346300271857714,0.26346300271857714
2320,2,0.3628163966825151,2165.0000000225523,12,0.40664773534451987,frequency,2,2,-0.04383133866200478,0.04383133866200478
2321,12,0.3052511470985046,2164.9999999792612,1,0.36769924863804054,frequency,1,-1,-0.06244810153953595,0.06244810153953595
2322,11,0.3763418691990069,2165.0000000225523,1,0.3614394021796388,frequency,2,-2,0.014902467019368093,0.014902467019368093
2323,2,0.2463773799834086,2164.9999999792612,1,0.4518378784062735,frequency,1,1,-0.20546049842286487,0.20546049842286487
2369,11,0.3156278088780049,2164.9999999792512,1,0.30819211826870113,frequency,2,-2,0.007435690609303769,0.007435690609303769
2371,11,0.2994675835357676,2164.9999999792512,1,0.26738522126645253,frequency,2,-2,0.032082362269315046,0.032082362269315046
2372,3,0.3147728557686265,2165.000000022563,1,0.19866144231437388,frequency,2,2,0.11611141345425263,0.11611141345425263
2373,1,0.2989396653229111,2164.9999999792512,1,0.27128487162682013,frequency,0,0,0.027654793696090973,0.027654793696090973
2374,2,0.6604725203951807,2165.000000022563,1,0.3713020728516804,frequency,1,1,0.2891704475435003,0.2891704475435003
2376,1,0.5324752995712885,2164.9999999792612,2,0.3296384198727752,frequency,1,-1,0.20283687969851327,0.20283687969851327
2377,1,0.4526046682021655,2165.0000000225523,1,0.2975981334236945,frequency,0,0,0.15500653477847098,0.15500653477847098
2378,2,0.5206504418543203,2164.9999999792612,2,0.41882807830520735,frequency,0,0,0.10182236354911295,0.10182236354911295
2379,1,0.3507150375860347,2165.0000000225523,1,0.33001228309229674,frequency,0,0,0.02070275449373793,0.02070275449373793
2380,1,0.4238022146536175,2164.9999999792612,1,0.42632877139286574,frequency,0,0,-0.0025265567392482313,0.0025265567392482313
